State,Region,Disease,KG_Pest,Incidence,Prevalence
Vermont,Northeast,Multiple Sclerosis,3864280.1,3.78979775344571,165.813112458995
Vermont,Northeast,Parkinson Disease,3877064.9,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,64278990.65,186.533443133339,1380.27367930327
Virginia,Southeast,Brain Neoplasms,62604193.45,8.09873086849552,23.7011593177197
Virginia,Southeast,Epilepsy,63386660.7,39.53484077308,355.030911549836
Virginia,Southeast,Migraine Disorders,52428791.2,1169.59539588561,17567.400424516
Virginia,Southeast,Multiple Sclerosis,63686326.8,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,64299669.7,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,125144969.95,177.546327658036,1270.29075890444
Washington,West,Brain Neoplasms,112695911.95,8.09282583148802,18.4676159550603
Washington,West,Epilepsy,121267867.8,38.392619954776,335.917487079549
Washington,West,Migraine Disorders,88508146.2,1154.7297999599,17283.0573937232
Washington,West,Multiple Sclerosis,123883441.05,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,125178731.15,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,8014144.05,246.397293208741,1868.78708907877
West Virginia,Southeast,Brain Neoplasms,7706183.3,9.56964721346079,21.1517311637184
West Virginia,Southeast,Epilepsy,7895356.1,41.3973198556138,407.036724015112
West Virginia,Southeast,Migraine Disorders,6589637.5,1086.78437138554,16940.3126224638
West Virginia,Southeast,Multiple Sclerosis,7907691.6,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,8070061.35,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,145433510.2,207.485906784764,1504.62890393489
Wisconsin,Midwest,Brain Neoplasms,136096780.35,9.94590840657885,30.4884052495691
Wisconsin,Midwest,Epilepsy,143875444.15,43.9326962901769,351.657254468725
Wisconsin,Midwest,Migraine Disorders,124933424.15,1139.81088599754,17061.7003150265
Wisconsin,Midwest,Multiple Sclerosis,144570943.1,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,145230999.9,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,13244497.8,173.551599018126,1229.19619872237
Wyoming,West,Brain Neoplasms,11501000.8,8.39136403059217,23.4168901435979
Wyoming,West,Epilepsy,13061852.15,40.1073021983102,351.858148809389
Wyoming,West,Migraine Disorders,8200278.35,1147.05425668036,16758.9145653839
Wyoming,West,Multiple Sclerosis,13081720.9,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,13243665.7,43.1262841847604,154.988867761039
